中文含义,深圳主板,创业板,上证主板,科创板,北交所,备注
#市场分类,51,51,1,1,62,"#100-港股,200-美股,1-科创板+上海主板,51-创业板+深圳主板,62-北交所"
#名字,~五 粮 液,~昊志机电,~浦发银行,~海光信息,~五新隧装,
#代码,~000858,~300503,~600000,~688041,~835174,
#当前价格,~125.80,~26.82,~13.72,~155.79,~66.50,
#昨收(元),~124.41,~26.52,~13.69,~148.73,~67.13,
#今开(元),~124.42,~26.31,~13.69,~148.88,~68.13,
#成交量（手）,~399865,~261582,~603222,~48236173,~50355,#科创板的单位是股
#外盘（手）,~208277,~123646,~288503,~26249291,~20341,#科创板的单位是股
#内盘（手）,~191588,~137937,~314720,~21986882,~30014,#科创板的单位是股
#买一价(元),~125.78,~26.82,~13.71,~155.78,~66.50,
#买一量(手),~2335,~868,~1306,~2,~78,#科创板的单位是股
#买二价(元),~0.00,~26.81,~13.70,~155.77,~66.49,
#买二量(手),~599,~110,~6592,~42,~11,#科创板的单位是股
#买三价(元),~0.00,~26.80,~13.69,~155.75,~66.48,
#买三量(手),~0,~263,~5682,~21,~2,#科创板的单位是股
#买四价(元),~0.00,~26.79,~13.68,~155.74,~66.46,
#买四量(手),~0,~506,~1132,~15,~10,#科创板的单位是股
#买五价(元),~0.00,~26.78,~13.67,~155.72,~66.45,
#买五量(手),~0,~124,~1144,~24,~10,#科创板的单位是股
#卖一价(元),~125.78,~26.83,~13.72,~155.79,~66.52,
#卖一量(手),~2335,~895,~2111,~146,~5,#科创板的单位是股
#卖二价(元),~0.00,~26.84,~13.73,~155.80,~66.54,
#卖二量(手),~0,~49,~261,~791,~181,#科创板的单位是股
#卖三价(元),~0.00,~26.85,~13.74,~155.81,~66.59,
#卖三量(手),~0,~97,~1200,~60,~57,#科创板的单位是股
#卖四价(元),~0.00,~26.86,~13.75,~155.82,~66.60,
#卖四量(手),~0,~82,~585,~481,~23,#科创板的单位是股
#卖五价(元),~0.00,~26.87,~13.76,~155.83,~66.61,
#卖五量(手),~0,~88,~1137,~106,~1,#科创板的单位是股
#可能是最近逐笔成交,~,~,~,~,~,#港股是成交量
#时间戳(精确到秒),~20250820145821,~20250820160909,~20250820155202,~20250820155754,~20250820154101,#港股时间格式不一样
#涨跌额(元),~1.39,~0.30,~0.03,~7.06,~-0.63,
#涨跌幅%,~1.12,~1.13,~0.22,~4.75,~-0.94,
#最高价(元),~126.50,~27.40,~13.87,~155.96,~68.66,
#最低价(元),~123.35,~26.03,~13.60,~146.77,~66.03,
